page_id,page_name,page_url,page_last_update,page_content_html,page_content_md,scrape_date
6398,Pós-Graduação em Ciência da Computação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/,19/Out/2023 11:56,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/programas-de-pos-graduacao_ciencia-da-computacao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/programas-de-pos-graduacao_ciencia-da-computacao.md,2024-09-24
6398,Pós-Graduação em Ciência da Computação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/horario-de-disciplinas/portfolio---disciplinas---unesp/,19/Out/2023 11:56,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/horario-de-disciplinas_portfolio---disciplinas---unesp.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/horario-de-disciplinas_portfolio---disciplinas---unesp.md,2024-09-24
6398,Pós-Graduação em Ciência da Computação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/horario-de-disciplinas/,19/Out/2023 11:56,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/ciencia-da-computacao_horario-de-disciplinas.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_horario-de-disciplinas.md,2024-09-24
6398,Pós-Graduação em Ciência da Computação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/processo-seletivo-de-mestrado-2025/,19/Out/2023 11:56,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/informacoes-para-candidatos_processo-seletivo-de-mestrado-2025.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/informacoes-para-candidatos_processo-seletivo-de-mestrado-2025.md,2024-09-24
8189,Seleção de Doutorado em fluxo contínuo 2024 - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/processo-seletivo-doutorado-em-fluxo-continuo-2024/,08/Ago/2024 10:14,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/informacoes-para-candidatos_processo-seletivo-doutorado-em-fluxo-continuo-2024.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/informacoes-para-candidatos_processo-seletivo-doutorado-em-fluxo-continuo-2024.md,2024-09-24
8189,Seleção de Doutorado em fluxo contínuo 2024 - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/,08/Ago/2024 10:14,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/ciencia-da-computacao_informacoes-para-candidatos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_informacoes-para-candidatos.md,2024-09-24
8189,Seleção de Doutorado em fluxo contínuo 2024 - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/calendario-de-reunioes---pautas-e-atas/,08/Ago/2024 10:14,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/calendario_calendario-de-reunioes---pautas-e-atas.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/calendario_calendario-de-reunioes---pautas-e-atas.md,2024-09-24
8189,Seleção de Doutorado em fluxo contínuo 2024 - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/calendario-do-programa/,08/Ago/2024 10:14,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/calendario_calendario-do-programa.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/calendario_calendario-do-programa.md,2024-09-24
8026,Processo Seletivo,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/,03/Jan/2024 15:59,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/ciencia-da-computacao_calendario.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_calendario.md,2024-09-24
5823,Calendário de Reuniões do Conselho,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/apoio-academico/requerimento/,31/Jan/2024 11:52,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/raw/page_content/html/apoio-academico_requerimento.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/scraper/data/preprocessed/page_content/markdown/apoio-academico_requerimento.md,2024-09-24
